player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Manu Ginobili,SA,SG,"","",20,0,2,.000,4,4,3,3,0,12
Jrue Holiday,Nor,PG,"",BOYD,30,3,4,.750,1,4,9,0,0,12
James Johnson,Mia,SF,"","",28,0,0,.000,2,8,6,0,0,12
Danny Green,SA,SG,"","",34,0,0,.000,4,3,2,2,1,12
Jeremy Lin*,Bkn,PG,O,JCOH,25,2,4,.500,2,2,4,1,1,12
Aaron Gordon,Orl,PF,"","",28,3,4,.750,1,5,1,0,0,12
Luol Deng,LAL,SF,"","",34,0,0,.000,1,7,1,0,3,11
C.J. Miles,Ind,SF,"","",26,5,6,.833,2,7,0,2,0,11
Arron Afflalo,Sac,SG,"","",31,2,3,.667,1,1,1,0,0,11
Joakim Noah,NY,C,"","",30,3,4,.750,0,11,2,0,2,11
Anthony Tolliver,Sac,PF,"","",34,2,2,1.000,3,4,0,0,0,11
Trevor Booker,Bkn,PF,DTD,WEIS,20,2,2,1.000,1,5,2,1,0,11
Cory Joseph,Tor,PG,"","",26,2,3,.667,1,7,4,0,0,11
Maurice Harkless,Por,SF,"",AUST,24,1,3,.333,0,10,0,1,1,11
Robert Covington,Phi,PF,"",JLEE,34,1,2,.500,2,8,2,0,2,11
Cody Zeller,Cha,PF,DTD,"",25,3,4,.750,0,5,2,2,0,11
Rudy Gobert,Uta,C,"",SANF,31,1,3,.333,0,16,1,0,2,11
Joel Embiid,Phi,C,"",JLEE,25,3,5,.600,0,6,1,1,1,11
Joe Ingles,Uta,PF,"","",27,0,0,.000,3,5,3,2,0,11
Frank Kaminsky III,Cha,C,"","",18,2,4,.500,1,3,0,1,0,11
Jahlil Okafor,Phi,C,"",WEIS,25,1,2,.500,0,7,1,0,2,11
Trey Lyles,Uta,PF,"","",24,5,6,.833,2,3,1,1,0,11
Pau Gasol,SA,PF,"",JLEE,26,0,0,.000,0,10,2,0,2,10
Nene ,Hou,PF,"","",18,2,2,1.000,0,7,2,1,0,10
Tony Allen,Mem,SG,"","",38,0,0,.000,0,8,0,1,1,10
Marreese Speights,LAC,PF,"",BCOH,17,0,1,.000,2,2,0,0,0,10
Darren Collison,Sac,PG,"",AUST,21,4,5,.800,0,2,3,0,0,10
Tristan Thompson,Cle,PF,"",STIP,26,2,3,.667,0,12,0,1,1,10
Jonas Valanciunas,Tor,C,"",AUST,22,4,4,1.000,0,14,0,0,1,10
Kelly Olynyk,Bos,C,"","",26,5,6,.833,1,3,1,3,2,10
Tim Frazier,Nor,SG,"",FERA,27,0,1,.000,2,4,6,1,0,10
Larry Nance Jr.*,LAL,PF,O,"",21,1,2,.500,1,4,2,2,0,10
Sam Dekker,Hou,SF,"","",21,4,4,1.000,0,7,1,1,1,10
T.J. McConnell,Phi,PG,"","",17,0,0,.000,0,0,5,3,0,10
Buddy Hield,Nor,SG,"","",21,0,0,.000,2,1,1,0,0,10
Zach Randolph,Mem,PF,"",JCOH,21,1,2,.500,0,5,2,0,1,9
Luis Scola,Bkn,PF,"","",18,0,0,.000,1,5,0,0,0,9
Jameer Nelson,Den,PG,"","",22,0,0,.000,1,1,6,0,0,9
Sergio Rodriguez,Phi,PG,"","",31,1,2,.500,2,2,3,1,0,9
Dante Cunningham,Nor,PF,"","",19,0,0,.000,3,5,1,0,0,9
Ed Davis,Por,PF,"","",19,1,2,.500,0,5,0,1,0,9
Austin Rivers,LAC,SG,DTD,"",22,2,4,.500,1,0,6,2,0,9
Mirza Teletovic,Mil,PF,"","",19,0,0,.000,1,5,0,0,0,9
Allen Crabbe,Por,SG,"","",36,1,2,.500,0,0,1,0,0,9
Nikola Jokic,Den,PF,DTD,LEED,21,1,2,.500,0,6,1,0,0,9
Josh Richardson,Mia,SG,DTD,"",44,3,4,.750,2,4,6,0,0,9
Montrezl Harrell,Hou,PF,"","",22,1,3,.333,0,5,2,1,0,9
Pascal Siakam,Tor,PF,"","",28,3,4,.750,0,3,2,0,2,9
Richard Jefferson,Cle,SF,"","",35,3,3,1.000,1,2,0,1,0,8
Tony Parker,SA,PG,"","",24,1,2,.500,1,2,1,1,0,8
Brandon Bass,LAC,PF,"","",11,2,2,1.000,0,1,1,0,0,8
Raymond Felton,LAC,PG,"","",19,0,0,.000,0,3,2,2,0,8
JaVale McGee,GS,C,"","",15,0,0,.000,0,7,1,1,0,8
Luke Babbitt,Mia,SF,DTD,"",15,2,2,1.000,2,2,0,0,1,8
Tony Snell,Mil,SF,"","",41,0,0,.000,2,6,4,0,2,8
Ben McLemore,Sac,SG,"","",21,3,3,1.000,1,0,0,0,0,8
Anthony Bennett,Bkn,PF,"","",21,3,4,.750,1,10,1,1,1,8
Matthew Dellavedova,Mil,SG,"","",39,0,0,.000,2,3,5,1,0,8
Nik Stauskas,Phi,SG,"","",23,2,2,1.000,2,5,0,0,1,8
Julius Randle,LAL,PF,"",LEED,31,0,0,.000,0,6,4,0,5,8
Sean Kilpatrick,Bkn,SG,"",AUST,23,2,2,1.000,0,1,0,3,0,8
Jamal Murray,Den,SG,"","",27,0,1,.000,2,5,5,0,1,8
Paul Pierce,LAC,SF,"","",18,1,2,.500,2,1,0,0,0,7
Ryan Anderson,Hou,PF,"",BOYD,37,2,2,1.000,1,6,2,0,0,7
D.J. Augustin,Orl,PG,"","",26,2,3,.667,1,1,6,0,0,7
Courtney Lee,NY,SG,"","",37,2,2,1.000,1,4,1,1,0,7
Justin Holiday,NY,SG,"","",21,0,0,.000,1,4,3,0,0,7
JaMychal Green,Mem,PF,"","",31,3,4,.750,0,12,1,2,0,7
Vince Carter,Mem,SG,"","",15,0,0,.000,2,2,2,2,1,6
J.R. Smith*,Cle,SG,O,FERA,17,0,0,.000,2,1,0,0,0,6
David Lee,SA,PF,"","",17,0,0,.000,0,4,1,0,1,6
Roy Hibbert,Cha,C,"","",9,2,2,1.000,0,2,0,0,1,6
Gordon Hayward,Uta,SG,"",AUST,27,2,3,.667,0,3,2,0,0,6
Greg Monroe,Mil,PF,"",FERA,18,0,1,.000,0,4,1,0,0,6
Bismack Biyombo,Orl,C,"","",31,0,4,.000,0,9,1,0,1,6
Shelvin Mack,Uta,PG,"",JLEE,22,0,2,.000,0,1,2,0,0,6
Iman Shumpert,Cle,SG,"","",33,1,2,.500,1,4,2,1,0,6
Michael Kidd-Gilchrist,Cha,SF,"","",30,0,0,.000,0,11,0,1,0,6
Kyle O'Quinn,NY,PF,"","",17,0,0,.000,0,6,1,2,1,6
Raul Neto,Uta,PG,"","",13,0,0,.000,0,1,2,1,0,6
Lucas Nogueira,Tor,C,"","",22,2,2,1.000,0,6,1,1,4,6
Ian Clark,GS,SG,"","",10,1,2,.500,1,1,1,1,0,6
Dante Exum,Uta,SG,"","",26,0,0,.000,2,1,0,0,0,6
Willie Cauley-Stein,Sac,C,"","",7,0,0,.000,0,0,0,0,0,6
Malcolm Brogdon,Mil,SG,"","",19,0,0,.000,0,1,5,1,0,6
Juancho Hernangomez,Den,PF,"","",6,2,2,1.000,0,2,0,0,0,6
Jamal Crawford,LAC,SG,"","",19,0,0,.000,1,1,3,0,0,5
Gerald Green,Bos,SF,"","",7,0,0,.000,1,3,0,0,0,5
Amir Johnson,Bos,PF,"","",24,1,2,.500,0,3,2,0,0,5
Randy Foye,Bkn,SG,"","",7,2,2,1.000,1,1,1,1,0,5
Josh McRoberts*,Mia,PF,O,"",17,1,2,.500,0,1,0,0,0,5
Brandon Jennings,NY,PG,"","",22,1,2,.500,0,3,6,1,0,5
Garrett Temple,Sac,SG,"",BOYD,24,3,5,.600,0,4,3,1,1,5
Bojan Bogdanovic,Bkn,SG,"",AUST,19,2,2,1.000,1,0,2,0,0,5
Justin Hamilton,Bkn,C,"","",23,1,2,.500,0,11,4,0,1,5
James Ennis,Mem,SF,"","",18,1,1,1.000,0,2,1,0,0,5
Joe Harris,Bkn,SG,"","",22,0,0,.000,1,6,2,0,0,5
Shabazz Napier,Por,SG,"","",17,0,0,.000,1,1,2,1,0,5
David West,GS,PF,"","",11,0,0,.000,0,3,1,0,0,4
Aaron Brooks,Ind,PG,"","",11,0,0,.000,0,0,3,1,0,4
Patrick Beverley,Hou,PG,"",JLEE,32,0,0,.000,0,8,1,2,1,4
Terrence Ross,Tor,SG,"","",23,0,0,.000,0,4,1,1,1,4
Nerlens Noel,Phi,C,"",STIP,7,0,0,.000,0,3,0,0,0,4
Brandon Ingram,LAL,PF,"","",28,0,0,.000,0,4,3,0,0,4
Mike Dunleavy,Atl,SG,DTD,"",14,0,0,.000,1,2,0,0,0,3
Andre Iguodala,GS,SF,"","",26,0,0,.000,1,1,4,2,1,3
Jodie Meeks,Orl,SG,"","",13,0,0,.000,1,1,0,0,0,3
DeAndre Liggins,Cle,SG,"","",20,0,0,.000,1,2,3,1,0,3
Glenn Robinson III,Ind,SG,"","",33,1,2,.500,0,3,2,1,0,3
Gary Harris,Den,SG,DTD,WEIS,19,0,0,.000,1,2,1,1,0,3
Jarell Martin,Mem,PF,"","",17,1,2,.500,0,8,0,0,0,3
Jonathon Simmons,SA,SG,"","",10,1,2,.500,0,2,1,0,0,3
Caris LeVert,Bkn,PF,"","",19,0,0,.000,1,1,0,1,0,3
Jason Terry,Mil,SG,"","",12,0,0,.000,0,2,1,0,0,2
Matt Barnes,Sac,SF,"","",19,2,4,.500,0,4,4,0,0,2
Zaza Pachulia,GS,C,"","",15,2,2,1.000,0,3,1,0,0,2
Boris Diaw,Uta,PF,"","",16,0,0,.000,0,3,1,0,0,2
Ramon Sessions,Cha,PG,"","",7,0,0,.000,0,0,4,0,0,2
Omer Asik,Nor,C,"","",16,2,2,1.000,0,6,0,0,1,2
Kosta Koufos,Sac,PF,"","",14,0,0,.000,0,0,0,0,0,2
Shaun Livingston,GS,PG,"","",18,0,0,.000,0,2,4,0,0,2
Wesley Johnson,LAC,SF,"","",14,0,0,.000,0,1,0,1,0,2
Lance Thomas,NY,SF,"","",6,0,0,.000,0,1,0,0,0,2
Jeremy Lamb,Cha,SG,"","",11,2,2,1.000,0,3,0,0,0,2
Solomon Hill,Nor,SF,"","",33,0,0,.000,0,3,2,1,0,2
Dario Saric,Phi,SF,"","",16,2,2,1.000,0,3,3,1,0,2
Andrew Harrison,Mem,PG,"","",18,2,2,1.000,0,1,3,1,0,2
Jaylen Brown,Bos,PF,"","",11,0,0,.000,0,1,0,0,0,2
James Jones,Cle,SF,"","",2,1,2,.500,0,0,0,0,0,1
Joel Bolomboy,Uta,PF,"","",4,1,2,.500,0,2,0,0,0,1
Udonis Haslem,Mia,PF,DTD,"",0,0,0,.000,0,0,0,0,0,0
Anderson Varejao,GS,C,"","",7,0,0,.000,0,5,0,0,1,0
Corey Brewer,Hou,SF,"","",6,0,0,.000,0,1,1,0,0,0
Alexis Ajinca,Nor,C,"","",12,0,0,.000,0,7,2,0,0,0
Jonas Jerebko,Bos,SF,"","",12,0,0,.000,0,1,0,0,0,0
Timofey Mozgov,LAL,C,"","",11,0,0,.000,0,6,1,0,0,0
Lavoy Allen,Ind,PF,"","",11,0,0,.000,0,3,0,0,0,0
Davis Bertans,SA,SF,"","",2,0,0,.000,0,0,1,0,0,0
Alan Anderson,LAC,SF,"","",7,0,0,.000,0,1,0,0,0,0
Meyers Leonard,Por,C,"","",19,0,0,.000,0,2,2,0,0,0
Hollis Thompson,Phi,SF,"","",10,0,0,.000,0,2,2,0,0,0
Willie Reed,Mia,SF,"","",11,0,0,.000,0,4,0,0,0,0
Jeff Withey,Uta,C,"","",17,0,0,.000,0,5,0,1,1,0
Dewayne Dedmon,SA,C,"","",11,0,0,.000,0,3,0,0,0,0
Rodney Hood,Uta,SG,"",JCOH,11,0,2,.000,0,2,1,0,0,0
Marcus Smart,Bos,PG,"","",22,0,0,.000,0,2,4,1,0,0
Noah Vonleh,Por,PF,"","",10,0,0,.000,0,4,0,1,0,0
Bruno Caboclo,Tor,SF,"","",2,0,0,.000,0,1,0,0,0,0
Willy Hernangomez,NY,C,"","",2,0,0,.000,0,0,0,0,0,0
Terry Rozier,Bos,PG,"","",7,0,0,.000,0,1,1,0,0,0
Kevon Looney,GS,SF,"","",9,0,0,.000,0,4,1,0,1,0
Emmanuel Mudiay,Den,PG,"",LEED,26,0,0,.000,0,5,1,1,0,0
Jakob Poeltl,Tor,PF,"","",5,0,2,.000,0,2,0,0,0,0
Patrick McCaw,GS,SG,"","",11,0,0,.000,0,0,1,0,0,0
Diamond Stone,LAC,C,"","",2,0,0,.000,0,0,0,0,0,0
Ivica Zubac,LAL,C,"","",3,0,0,.000,0,1,0,0,0,0
Fred VanVleet,Tor,PG,"","",2,0,0,.000,0,0,0,0,0,0
Metta World Peace,LAL,SF,"","",--,--,--,--,--,--,--,--,--,--
Elton Brand,Phi,PF,"","",--,--,--,--,--,--,--,--,--,--
Kobe Bryant,LAL,SG,"","",--,--,--,--,--,--,--,--,--,--
Tim Duncan,SA,PF,"","",--,--,--,--,--,--,--,--,--,--
Kevin Garnett,Min,PF,"","",--,--,--,--,--,--,--,--,--,--
Andrei Kirilenko,Bkn,SF,"","",--,--,--,--,--,--,--,--,--,--
Shawn Marion,Cle,SF,"","",--,--,--,--,--,--,--,--,--,--
Kenyon Martin,Mil,PF,"","",--,--,--,--,--,--,--,--,--,--
Andre Miller,SA,PG,"","",--,--,--,--,--,--,--,--,--,--
Mike Miller,Den,SF,"","",--,--,--,--,--,--,--,--,--,--
Nazr Mohammed,OKC,C,"","",--,--,--,--,--,--,--,--,--,--
Steve Nash,LAL,PG,"","",--,--,--,--,--,--,--,--,--,--
Dirk Nowitzki,Dal,PF,"","",--,--,--,--,--,--,--,--,--,--
Hedo Turkoglu,LAC,SF,"","",--,--,--,--,--,--,--,--,--,--
Tyson Chandler,Pho,C,"",WEIS,--,--,--,--,--,--,--,--,--,--
Samuel Dalembert,Dal,C,"","",--,--,--,--,--,--,--,--,--,--
Brendan Haywood,Cle,C,"","",--,--,--,--,--,--,--,--,--,--
Jason Richardson,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Gerald Wallace,Bos,SF,"","",--,--,--,--,--,--,--,--,--,--
Chris Andersen*,Cle,C,O,"",--,--,--,--,--,--,--,--,--,--
Carlos Boozer,LAL,PF,"","",--,--,--,--,--,--,--,--,--,--
Caron Butler,Sac,SF,"","",--,--,--,--,--,--,--,--,--,--
Drew Gooden,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
Tayshaun Prince,Min,SF,"","",--,--,--,--,--,--,--,--,--,--
John Salmons,Nor,SF,"","",--,--,--,--,--,--,--,--,--,--
Amar'e Stoudemire,Mia,PF,"","",--,--,--,--,--,--,--,--,--,--
Rasual Butler,Min,SG,"","",--,--,--,--,--,--,--,--,--,--
Jannero Pargo,Cha,PG,"","",--,--,--,--,--,--,--,--,--,--
Reggie Evans,Sac,PF,"","",--,--,--,--,--,--,--,--,--,--
Chris Bosh*,Mia,C,O,"",--,--,--,--,--,--,--,--,--,--
Nick Collison,OKC,PF,"","",--,--,--,--,--,--,--,--,--,--
Kirk Hinrich,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Chris Kaman,Por,C,"","",--,--,--,--,--,--,--,--,--,--
Luke Ridnour,Tor,PG,"","",--,--,--,--,--,--,--,--,--,--
Dwyane Wade,Chi,SG,"",BOYD,--,--,--,--,--,--,--,--,--,--
Steve Blake,Det,PG,"","",--,--,--,--,--,--,--,--,--,--
Keith Bogans,FA,SG,"","",--,--,--,--,--,--,--,--,--,--
Matt Bonner,SA,PF,"","",--,--,--,--,--,--,--,--,--,--
Brian Cook,FA,PF,"","",--,--,--,--,--,--,--,--,--,--
Carlos Delfino,FA,SF,"","",--,--,--,--,--,--,--,--,--,--
Willie Green,Orl,SG,"","",--,--,--,--,--,--,--,--,--,--
Dahntay Jones,Cle,SG,"","",--,--,--,--,--,--,--,--,--,--
Jason Kapono,FA,SF,"","",--,--,--,--,--,--,--,--,--,--
Kyle Korver,Cle,SG,DTD,"",--,--,--,--,--,--,--,--,--,--
Travis Outlaw,FA,SF,"","",--,--,--,--,--,--,--,--,--,--
Kendrick Perkins,Nor,C,"","",--,--,--,--,--,--,--,--,--,--
Leandro Barbosa,Pho,SG,"","",--,--,--,--,--,--,--,--,--,--
Mo Williams*,Atl,PG,O,"",--,--,--,--,--,--,--,--,--,--
Josh Powell,Mil,PF,"","",--,--,--,--,--,--,--,--,--,--
Ben Gordon,GS,SG,"","",--,--,--,--,--,--,--,--,--,--
Devin Harris,Dal,PG,"","",--,--,--,--,--,--,--,--,--,--
Dwight Howard,Atl,C,"",BCOH,--,--,--,--,--,--,--,--,--,--
Kevin Martin,SA,SG,"","",--,--,--,--,--,--,--,--,--,--
Emeka Okafor,FA,C,"","",--,--,--,--,--,--,--,--,--,--
Josh Smith,Hou,SF,"","",--,--,--,--,--,--,--,--,--,--
Sebastian Telfair,OKC,PG,"","",--,--,--,--,--,--,--,--,--,--
Sasha Vujacic,NY,SG,"","",--,--,--,--,--,--,--,--,--,--
Dorell Wright,LAC,SF,"","",--,--,--,--,--,--,--,--,--,--
Kris Humphries,Atl,PF,"","",--,--,--,--,--,--,--,--,--,--
Beno Udrih,Det,PG,"","",--,--,--,--,--,--,--,--,--,--
Earl Barron,Atl,C,"","",--,--,--,--,--,--,--,--,--,--
Andray Blatche,FA,PF,"","",--,--,--,--,--,--,--,--,--,--
Andrew Bogut,Dal,C,DTD,"",--,--,--,--,--,--,--,--,--,--
Monta Ellis,Ind,SG,"","",--,--,--,--,--,--,--,--,--,--
Francisco Garcia,Hou,SF,"","",--,--,--,--,--,--,--,--,--,--
Marcin Gortat,Wsh,C,"",FERA,--,--,--,--,--,--,--,--,--,--
Danny Granger,Det,SG,"","",--,--,--,--,--,--,--,--,--,--
Jarrett Jack*,Atl,PG,O,"",--,--,--,--,--,--,--,--,--,--
Ian Mahinmi*,Wsh,C,O,"",--,--,--,--,--,--,--,--,--,--
Jason Maxiell,Cha,PF,"","",--,--,--,--,--,--,--,--,--,--
Nate Robinson,Nor,PG,"","",--,--,--,--,--,--,--,--,--,--
Ronny Turiaf,Min,C,"","",--,--,--,--,--,--,--,--,--,--
Charlie Villanueva,Dal,PF,"","",--,--,--,--,--,--,--,--,--,--
Martell Webster,Wsh,SF,"","",--,--,--,--,--,--,--,--,--,--
Deron Williams,Dal,PG,"",BCOH,--,--,--,--,--,--,--,--,--,--
Jose Calderon,LAL,PG,"","",--,--,--,--,--,--,--,--,--,--
Ronnie Price,OKC,PG,"","",--,--,--,--,--,--,--,--,--,--
Shavlik Randolph,Bos,PF,"","",--,--,--,--,--,--,--,--,--,--
Chuck Hayes,Hou,PF,"","",--,--,--,--,--,--,--,--,--,--
Andrea Bargnani,Bkn,PF,"","",--,--,--,--,--,--,--,--,--,--
Shannon Brown,Mia,SG,"","",--,--,--,--,--,--,--,--,--,--
Jordan Farmar,Sac,PG,"","",--,--,--,--,--,--,--,--,--,--
Rudy Gay,Sac,SF,"",STIP,--,--,--,--,--,--,--,--,--,--
Ryan Hollins,Wsh,C,"","",--,--,--,--,--,--,--,--,--,--
Solomon Jones,FA,C,"","",--,--,--,--,--,--,--,--,--,--
Paul Millsap,Atl,PF,"",FERA,--,--,--,--,--,--,--,--,--,--
Steve Novak,Mil,PF,"","",--,--,--,--,--,--,--,--,--,--
Rajon Rondo,Chi,PG,"",AUST,--,--,--,--,--,--,--,--,--,--
Thabo Sefolosha,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Tyrus Thomas,Mem,PF,"","",--,--,--,--,--,--,--,--,--,--
Shawne Williams,Mil,SF,"","",--,--,--,--,--,--,--,--,--,--
Lou Amundson,NY,PF,"","",--,--,--,--,--,--,--,--,--,--
J.J. Barea,Dal,PG,"",SANF,--,--,--,--,--,--,--,--,--,--
Glen Davis,LAC,PF,"","",--,--,--,--,--,--,--,--,--,--
Jared Dudley,Pho,SF,"","",--,--,--,--,--,--,--,--,--,--
Kyrylo Fesenko,FA,C,"","",--,--,--,--,--,--,--,--,--,--
Aaron Gray,FA,C,"","",--,--,--,--,--,--,--,--,--,--
Spencer Hawes,Cha,C,"","",--,--,--,--,--,--,--,--,--,--
Carl Landry,Phi,PF,"","",--,--,--,--,--,--,--,--,--,--
Jason Smith,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
Rodney Stuckey*,Ind,SG,O,"",--,--,--,--,--,--,--,--,--,--
Marcus Williams,FA,PF,"","",--,--,--,--,--,--,--,--,--,--
Brandan Wright*,Mem,PF,O,"",--,--,--,--,--,--,--,--,--,--
Joel Anthony,SA,C,"","",--,--,--,--,--,--,--,--,--,--
C.J. Watson,Orl,PG,"","",--,--,--,--,--,--,--,--,--,--
Will Bynum,Atl,PG,"","",--,--,--,--,--,--,--,--,--,--
Darrell Arthur,Den,PF,"","",--,--,--,--,--,--,--,--,--,--
Jerryd Bayless*,Phi,PG,O,"",--,--,--,--,--,--,--,--,--,--
Michael Beasley,Mil,SF,DTD,"",--,--,--,--,--,--,--,--,--,--
Mario Chalmers*,Mia,PG,O,"",--,--,--,--,--,--,--,--,--,--
Joey Dorsey,Den,PF,"","",--,--,--,--,--,--,--,--,--,--
Chris Douglas-Roberts,Nor,SG,"","",--,--,--,--,--,--,--,--,--,--
Tadija Dragicevic,FA,SF,"","",--,--,--,--,--,--,--,--,--,--
JJ Hickson,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
